SCHOOL_TYPE,SPORT_CODE,NCAA_DIVISION,NCAA_SUBDIVISION,NCAA_CONFERENCE,FOURYEAR_ELIGIBILITY,FOURYEAR_RETENTION
0.0,2.0,1.0,1.0,Mountain West Conference,0.9394,0.9072
0.0,3.0,1.0,1.0,Mountain West Conference,1.0,0.9575
0.0,6.0,1.0,1.0,Mountain West Conference,0.9733,0.973
0.0,11.0,1.0,1.0,Mountain West Conference,0.9322,0.9231
0.0,19.0,1.0,1.0,Mountain West Conference,0.9717,0.902
0.0,21.0,1.0,1.0,Mountain West Conference,0.9725,0.9725
0.0,25.0,1.0,1.0,Mountain West Conference,0.9844,0.9667
0.0,26.0,1.0,1.0,Mountain West Conference,1.0,0.9802
0.0,31.0,1.0,1.0,Mountain West Conference,0.995,0.9592
0.0,29.0,1.0,1.0,Mountain West Conference,0.984,0.9454
0.0,32.0,1.0,1.0,Mountain West Conference,0.991,0.9774
0.0,33.0,1.0,1.0,Mountain West Conference,1.0,0.9672
0.0,34.0,1.0,1.0,Mountain West Conference,1.0,0.92
0.0,35.0,1.0,1.0,Mountain West Conference,1.0,0.92
0.0,36.0,1.0,1.0,Mountain West Conference,0.9893,0.9651
0.0,37.0,1.0,1.0,Mountain West Conference,0.9921,0.9758
1.0,1.0,1.0,3.0,West Coast Conference,0.9581,0.961
1.0,2.0,1.0,3.0,West Coast Conference,1.0,0.9694
1.0,3.0,1.0,3.0,West Coast Conference,0.972,1.0
1.0,6.0,1.0,3.0,West Coast Conference,0.9732,0.9811
1.0,11.0,1.0,3.0,West Coast Conference,0.9654,0.9642
1.0,13.0,1.0,3.0,West Coast Conference,0.9909,0.9636
1.0,15.0,1.0,3.0,West Coast Conference,0.972,1.0
1.0,17.0,1.0,3.0,West Coast Conference,1.0,0.982
1.0,19.0,1.0,3.0,West Coast Conference,1.0,0.9623
1.0,21.0,1.0,3.0,West Coast Conference,1.0,1.0
1.0,25.0,1.0,3.0,West Coast Conference,1.0,1.0
1.0,22.0,1.0,3.0,West Coast Conference,1.0,1.0
1.0,31.0,1.0,3.0,West Coast Conference,0.981,0.9806
1.0,29.0,1.0,3.0,West Coast Conference,0.969,1.0
1.0,33.0,1.0,3.0,West Coast Conference,1.0,1.0
1.0,35.0,1.0,3.0,West Coast Conference,1.0,1.0
1.0,36.0,1.0,3.0,West Coast Conference,0.9783,0.967
1.0,37.0,1.0,3.0,West Coast Conference,1.0,1.0
1.0,1.0,1.0,3.0,West Coast Conference,0.982,0.9255
1.0,2.0,1.0,3.0,West Coast Conference,0.9612,0.9608
1.0,3.0,1.0,3.0,West Coast Conference,0.9865,0.9863
1.0,6.0,1.0,3.0,West Coast Conference,0.9688,0.9688
1.0,11.0,1.0,3.0,West Coast Conference,0.9863,0.965
1.0,13.0,1.0,3.0,West Coast Conference,0.9825,0.9643
1.0,15.0,1.0,3.0,West Coast Conference,1.0,1.0
1.0,19.0,1.0,3.0,West Coast Conference,0.9821,1.0
1.0,21.0,1.0,3.0,West Coast Conference,0.9855,0.9565
1.0,28.0,1.0,3.0,West Coast Conference,0.9886,0.983
1.0,22.0,1.0,3.0,West Coast Conference,0.9497,0.9434
1.0,31.0,1.0,3.0,West Coast Conference,0.9882,0.9641
1.0,29.0,1.0,3.0,West Coast Conference,1.0,0.9624
1.0,33.0,1.0,3.0,West Coast Conference,0.9706,0.9539
1.0,35.0,1.0,3.0,West Coast Conference,0.9767,0.9535
1.0,36.0,1.0,3.0,West Coast Conference,1.0,0.9895
1.0,1.0,1.0,1.0,Pac-12 Conference,0.9939,0.9682
